date,person_id,person_name,prod_id,prod_name,amount,prod_price,prod_cost,location
04/13/21,9,Danielle Mccormick,47,Product 47,15,275,225,Location 17
02/14/21,9,Danielle Mccormick,43,Product 43,15,198,185,Location 5
12/22/21,9,Danielle Mccormick,47,Product 47,15,275,225,Location 95
07/27/21,9,Danielle Mccormick,23,Product 23,15,234,136,Location 33
03/27/21,9,Danielle Mccormick,45,Product 45,15,276,107,Location 18
02/20/21,9,Danielle Mccormick,9,Product 9,15,365,220,Location 66
11/24/21,9,Danielle Mccormick,44,Product 44,15,254,150,Location 69
11/12/21,9,Danielle Mccormick,16,Product 16,15,274,204,Location 45
01/01/21,9,Danielle Mccormick,44,Product 44,15,254,150,Location 44
12/13/21,9,Danielle Mccormick,18,Product 18,15,309,265,Location 39
03/23/21,9,Danielle Mccormick,24,Product 24,15,278,163,Location 6
08/21/21,9,Danielle Mccormick,28,Product 28,15,260,167,Location 74
02/25/21,9,Danielle Mccormick,31,Product 31,15,344,258,Location 40
04/22/21,9,Danielle Mccormick,38,Product 38,15,295,290,Location 55
06/13/21,9,Danielle Mccormick,40,Product 40,7,270,235,Location 44
05/21/21,10,Bruce Wood,9,Product 9,11,365,220,Location 15
07/17/21,10,Bruce Wood,22,Product 22,11,265,167,Location 11
04/08/21,10,Bruce Wood,11,Product 11,11,326,173,Location 53
08/08/21,10,Bruce Wood,23,Product 23,11,234,136,Location 16
06/13/21,10,Bruce Wood,44,Product 44,11,254,150,Location 55
11/19/21,10,Bruce Wood,7,Product 7,11,328,219,Location 55
05/25/21,10,Bruce Wood,21,Product 21,11,334,187,Location 76
04/06/21,10,Bruce Wood,50,Product 50,11,335,217,Location 45
09/28/21,10,Bruce Wood,2,Product 2,11,306,256,Location 55
12/22/21,10,Bruce Wood,25,Product 25,11,201,191,Location 52
02/26/21,10,Bruce Wood,5,Product 5,11,274,202,Location 31
12/18/21,10,Bruce Wood,41,Product 41,11,297,200,Location 27
01/16/21,10,Bruce Wood,42,Product 42,11,299,161,Location 38
02/15/21,10,Bruce Wood,35,Product 35,11,247,245,Location 3
09/16/21,10,Bruce Wood,35,Product 35,11,247,245,Location 73
08/02/21,10,Bruce Wood,16,Product 16,11,274,204,Location 30
06/15/21,10,Bruce Wood,45,Product 45,11,276,107,Location 35
04/04/21,10,Bruce Wood,49,Product 49,11,179,172,Location 57
09/13/21,10,Bruce Wood,39,Product 39,11,231,212,Location 69
08/22/21,10,Bruce Wood,13,Product 13,11,356,145,Location 94
03/26/21,10,Bruce Wood,50,Product 50,11,335,217,Location 96
02/23/21,10,Bruce Wood,10,Product 10,11,359,162,Location 39
03/23/21,10,Bruce Wood,46,Product 46,11,245,198,Location 20
06/09/21,10,Bruce Wood,47,Product 47,3,275,225,Location 25
09/05/21,11,Mathew Jacobs,43,Product 43,6,198,185,Location 90
08/19/21,11,Mathew Jacobs,3,Product 3,6,344,178,Location 19
12/19/21,11,Mathew Jacobs,18,Product 18,6,309,265,Location 91
11/04/21,11,Mathew Jacobs,29,Product 29,6,245,220,Location 90
09/01/21,11,Mathew Jacobs,8,Product 8,6,356,212,Location 88
02/09/21,11,Mathew Jacobs,46,Product 46,6,245,198,Location 86
09/23/21,11,Mathew Jacobs,46,Product 46,6,245,198,Location 46
01/21/21,11,Mathew Jacobs,43,Product 43,6,198,185,Location 26
04/15/21,11,Mathew Jacobs,31,Product 31,6,344,258,Location 26
07/03/21,11,Mathew Jacobs,27,Product 27,6,328,210,Location 14
05/24/21,11,Mathew Jacobs,47,Product 47,6,275,225,Location 25
02/05/21,11,Mathew Jacobs,31,Product 31,6,344,258,Location 10
01/17/21,11,Mathew Jacobs,24,Product 24,6,278,163,Location 84
08/10/21,11,Mathew Jacobs,43,Product 43,6,198,185,Location 46
11/12/21,11,Mathew Jacobs,1,Product 1,6,337,241,Location 41
06/24/21,11,Mathew Jacobs,22,Product 22,6,265,167,Location 53
06/09/21,11,Mathew Jacobs,27,Product 27,6,328,210,Location 27
09/28/21,11,Mathew Jacobs,35,Product 35,6,247,245,Location 46
03/21/21,11,Mathew Jacobs,2,Product 2,6,306,256,Location 57
11/22/21,11,Mathew Jacobs,14,Product 14,6,251,195,Location 88
11/13/21,11,Mathew Jacobs,20,Product 20,6,279,79,Location 38
10/05/21,11,Mathew Jacobs,28,Product 28,2,260,167,Location 94
10/28/21,12,Roger Lee,17,Product 17,17,274,265,Location 80
09/10/21,12,Roger Lee,38,Product 38,17,295,290,Location 53
02/10/21,12,Roger Lee,49,Product 49,17,179,172,Location 95
09/08/21,12,Roger Lee,37,Product 37,17,293,258,Location 91
04/07/21,12,Roger Lee,12,Product 12,17,256,149,Location 56
08/20/21,12,Roger Lee,24,Product 24,17,278,163,Location 72
12/16/21,12,Roger Lee,22,Product 22,17,265,167,Location 1
12/08/21,12,Roger Lee,37,Product 37,17,293,258,Location 63
09/11/21,12,Roger Lee,4,Product 4,17,305,197,Location 41
10/14/21,12,Roger Lee,43,Product 43,17,198,185,Location 7
06/06/21,12,Roger Lee,21,Product 21,17,334,187,Location 37
01/02/21,12,Roger Lee,25,Product 25,17,201,191,Location 20
04/05/21,12,Roger Lee,43,Product 43,17,198,185,Location 54
02/05/21,12,Roger Lee,42,Product 42,17,299,161,Location 83
07/04/21,12,Roger Lee,39,Product 39,17,231,212,Location 96
08/03/21,12,Roger Lee,30,Product 30,17,389,164,Location 22
01/17/21,12,Roger Lee,2,Product 2,17,306,256,Location 68
07/16/21,12,Roger Lee,19,Product 19,17,329,160,Location 85
02/24/21,12,Roger Lee,21,Product 21,2,334,187,Location 80
02/15/21,13,Robert Mcadams,23,Product 23,12,234,136,Location 63
07/21/21,13,Robert Mcadams,27,Product 27,12,328,210,Location 95
11/16/21,13,Robert Mcadams,5,Product 5,12,274,202,Location 1
10/28/21,13,Robert Mcadams,19,Product 19,12,329,160,Location 65
03/16/21,13,Robert Mcadams,25,Product 25,12,201,191,Location 23
10/01/21,13,Robert Mcadams,4,Product 4,12,305,197,Location 95
06/10/21,13,Robert Mcadams,47,Product 47,12,275,225,Location 56
06/15/21,13,Robert Mcadams,4,Product 4,12,305,197,Location 41
01/16/21,13,Robert Mcadams,37,Product 37,12,293,258,Location 4
04/21/21,13,Robert Mcadams,8,Product 8,12,356,212,Location 79
12/08/21,13,Robert Mcadams,29,Product 29,12,245,220,Location 95
09/03/21,13,Robert Mcadams,16,Product 16,12,274,204,Location 3
01/16/21,13,Robert Mcadams,27,Product 27,12,328,210,Location 59
01/15/21,13,Robert Mcadams,19,Product 19,12,329,160,Location 39
02/07/21,13,Robert Mcadams,11,Product 11,12,326,173,Location 92
11/17/21,13,Robert Mcadams,19,Product 19,12,329,160,Location 67
07/20/21,13,Robert Mcadams,48,Product 48,12,324,186,Location 37
08/02/21,13,Robert Mcadams,37,Product 37,12,293,258,Location 65
07/05/21,13,Robert Mcadams,5,Product 5,12,274,202,Location 61
12/22/21,13,Robert Mcadams,33,Product 33,12,342,194,Location 41
09/18/21,13,Robert Mcadams,32,Product 32,12,283,232,Location 62
02/25/21,13,Robert Mcadams,49,Product 49,12,179,172,Location 98
07/06/21,13,Robert Mcadams,24,Product 24,12,278,163,Location 29
12/08/21,13,Robert Mcadams,48,Product 48,11,324,186,Location 82
08/26/21,14,Diane Paredes,45,Product 45,13,276,107,Location 65
05/12/21,14,Diane Paredes,48,Product 48,13,324,186,Location 70
06/09/21,14,Diane Paredes,10,Product 10,13,359,162,Location 77
08/25/21,14,Diane Paredes,47,Product 47,13,275,225,Location 51
02/28/21,14,Diane Paredes,47,Product 47,13,275,225,Location 75
12/06/21,14,Diane Paredes,6,Product 6,13,351,239,Location 45
04/08/21,14,Diane Paredes,18,Product 18,13,309,265,Location 50
05/18/21,14,Diane Paredes,43,Product 43,13,198,185,Location 25
08/18/21,14,Diane Paredes,2,Product 2,13,306,256,Location 43
10/08/21,14,Diane Paredes,15,Product 15,13,234,219,Location 40
02/11/21,14,Diane Paredes,33,Product 33,13,342,194,Location 91
10/23/21,14,Diane Paredes,23,Product 23,13,234,136,Location 89
01/06/21,14,Diane Paredes,16,Product 16,13,274,204,Location 14
02/19/21,14,Diane Paredes,6,Product 6,13,351,239,Location 80
03/13/21,14,Diane Paredes,31,Product 31,13,344,258,Location 1
01/25/21,14,Diane Paredes,50,Product 50,13,335,217,Location 22
10/06/21,14,Diane Paredes,34,Product 34,13,345,196,Location 74
03/09/21,14,Diane Paredes,11,Product 11,13,326,173,Location 37
02/28/21,14,Diane Paredes,3,Product 3,13,344,178,Location 28
11/23/21,14,Diane Paredes,35,Product 35,13,247,245,Location 74
09/02/21,14,Diane Paredes,17,Product 17,13,274,265,Location 93
05/20/21,14,Diane Paredes,36,Product 36,13,313,189,Location 36
04/15/21,14,Diane Paredes,45,Product 45,13,276,107,Location 9
12/21/21,14,Diane Paredes,16,Product 16,3,274,204,Location 63
07/20/21,15,Donna Salvato,18,Product 18,6,309,265,Location 52
08/15/21,15,Donna Salvato,38,Product 38,6,295,290,Location 85
06/13/21,15,Donna Salvato,20,Product 20,6,279,79,Location 5
07/02/21,15,Donna Salvato,46,Product 46,6,245,198,Location 24
10/24/21,15,Donna Salvato,50,Product 50,6,335,217,Location 4
04/10/21,15,Donna Salvato,8,Product 8,6,356,212,Location 65
07/06/21,15,Donna Salvato,26,Product 26,6,418,251,Location 71
08/13/21,15,Donna Salvato,36,Product 36,6,313,189,Location 39
10/16/21,15,Donna Salvato,49,Product 49,6,179,172,Location 72
07/11/21,15,Donna Salvato,25,Product 25,6,201,191,Location 78
08/22/21,15,Donna Salvato,30,Product 30,6,389,164,Location 37
08/15/21,15,Donna Salvato,6,Product 6,6,351,239,Location 80
06/15/21,15,Donna Salvato,15,Product 15,6,234,219,Location 29
10/15/21,15,Donna Salvato,5,Product 5,6,274,202,Location 83
05/12/21,15,Donna Salvato,27,Product 27,6,328,210,Location 79
03/25/21,15,Donna Salvato,48,Product 48,6,324,186,Location 77
05/01/21,15,Donna Salvato,35,Product 35,2,247,245,Location 60
04/06/21,16,Linda Sample,23,Product 23,14,234,136,Location 64
05/18/21,16,Linda Sample,15,Product 15,14,234,219,Location 25
03/16/21,16,Linda Sample,24,Product 24,14,278,163,Location 27
11/18/21,16,Linda Sample,41,Product 41,14,297,200,Location 27
06/09/21,16,Linda Sample,46,Product 46,14,245,198,Location 67
10/28/21,16,Linda Sample,17,Product 17,14,274,265,Location 84
11/03/21,16,Linda Sample,12,Product 12,14,256,149,Location 61
09/05/21,16,Linda Sample,28,Product 28,14,260,167,Location 61
04/23/21,16,Linda Sample,41,Product 41,14,297,200,Location 33
09/23/21,16,Linda Sample,20,Product 20,14,279,79,Location 8
06/22/21,16,Linda Sample,49,Product 49,14,179,172,Location 23
08/09/21,16,Linda Sample,9,Product 9,14,365,220,Location 32
01/06/21,16,Linda Sample,14,Product 14,14,251,195,Location 67
06/17/21,16,Linda Sample,25,Product 25,14,201,191,Location 22
06/11/21,16,Linda Sample,38,Product 38,14,295,290,Location 28
06/16/21,16,Linda Sample,14,Product 14,14,251,195,Location 23
09/26/21,16,Linda Sample,33,Product 33,14,342,194,Location 28
09/05/21,16,Linda Sample,19,Product 19,14,329,160,Location 40
10/18/21,16,Linda Sample,39,Product 39,14,231,212,Location 60
09/23/21,16,Linda Sample,33,Product 33,14,342,194,Location 85
05/25/21,16,Linda Sample,17,Product 17,14,274,265,Location 66
01/25/21,16,Linda Sample,49,Product 49,14,179,172,Location 2
10/20/21,16,Linda Sample,9,Product 9,14,365,220,Location 79
04/15/21,16,Linda Sample,10,Product 10,8,359,162,Location 37
08/20/21,17,Becky Hubert,8,Product 8,22,356,212,Location 15
07/06/21,17,Becky Hubert,33,Product 33,22,342,194,Location 44
03/03/21,17,Becky Hubert,13,Product 13,22,356,145,Location 73
12/14/21,17,Becky Hubert,32,Product 32,22,283,232,Location 66
10/11/21,17,Becky Hubert,25,Product 25,22,201,191,Location 55
03/13/21,17,Becky Hubert,49,Product 49,22,179,172,Location 80
06/25/21,17,Becky Hubert,9,Product 9,22,365,220,Location 56
07/01/21,17,Becky Hubert,32,Product 32,22,283,232,Location 70
09/24/21,17,Becky Hubert,16,Product 16,22,274,204,Location 29
05/07/21,17,Becky Hubert,39,Product 39,22,231,212,Location 59
09/28/21,17,Becky Hubert,48,Product 48,22,324,186,Location 31
01/19/21,17,Becky Hubert,6,Product 6,22,351,239,Location 49
11/27/21,17,Becky Hubert,36,Product 36,22,313,189,Location 76
07/27/21,17,Becky Hubert,9,Product 9,22,365,220,Location 71
10/09/21,17,Becky Hubert,24,Product 24,22,278,163,Location 24
05/19/21,17,Becky Hubert,16,Product 16,22,274,204,Location 1
01/24/21,17,Becky Hubert,31,Product 31,22,344,258,Location 62
06/21/21,17,Becky Hubert,25,Product 25,22,201,191,Location 8
09/28/21,17,Becky Hubert,25,Product 25,22,201,191,Location 28
02/24/21,17,Becky Hubert,31,Product 31,22,344,258,Location 25
12/16/21,17,Becky Hubert,31,Product 31,22,344,258,Location 49
09/16/21,17,Becky Hubert,6,Product 6,22,351,239,Location 17
12/25/21,17,Becky Hubert,44,Product 44,7,254,150,Location 7
08/15/21,19,Mark Hesley,21,Product 21,21,334,187,Location 84
10/19/21,19,Mark Hesley,15,Product 15,21,234,219,Location 60
06/19/21,19,Mark Hesley,16,Product 16,21,274,204,Location 87
10/08/21,19,Mark Hesley,27,Product 27,21,328,210,Location 98
07/17/21,19,Mark Hesley,35,Product 35,21,247,245,Location 66
06/16/21,19,Mark Hesley,31,Product 31,21,344,258,Location 11
10/06/21,19,Mark Hesley,4,Product 4,21,305,197,Location 67
04/21/21,19,Mark Hesley,42,Product 42,21,299,161,Location 49
04/21/21,19,Mark Hesley,32,Product 32,21,283,232,Location 56
08/15/21,19,Mark Hesley,1,Product 1,21,337,241,Location 85
11/03/21,19,Mark Hesley,31,Product 31,21,344,258,Location 97
06/07/21,19,Mark Hesley,7,Product 7,21,328,219,Location 86
11/12/21,19,Mark Hesley,10,Product 10,21,359,162,Location 46
06/28/21,19,Mark Hesley,49,Product 49,21,179,172,Location 62
02/02/21,19,Mark Hesley,21,Product 21,21,334,187,Location 80
05/21/21,19,Mark Hesley,36,Product 36,16,313,189,Location 53
12/10/21,20,Leah Brown,37,Product 37,18,293,258,Location 77
04/28/21,20,Leah Brown,34,Product 34,18,345,196,Location 77
10/28/21,20,Leah Brown,9,Product 9,18,365,220,Location 82
01/27/21,20,Leah Brown,46,Product 46,18,245,198,Location 88
01/17/21,20,Leah Brown,47,Product 47,18,275,225,Location 29
10/05/21,20,Leah Brown,10,Product 10,18,359,162,Location 46
10/26/21,20,Leah Brown,8,Product 8,18,356,212,Location 10
03/05/21,20,Leah Brown,24,Product 24,18,278,163,Location 37
12/27/21,20,Leah Brown,39,Product 39,18,231,212,Location 54
02/03/21,20,Leah Brown,8,Product 8,18,356,212,Location 97
08/26/21,20,Leah Brown,11,Product 11,18,326,173,Location 96
09/21/21,20,Leah Brown,2,Product 2,18,306,256,Location 32
08/23/21,20,Leah Brown,18,Product 18,18,309,265,Location 46
01/13/21,20,Leah Brown,17,Product 17,18,274,265,Location 89
12/27/21,20,Leah Brown,15,Product 15,18,234,219,Location 68
01/11/21,20,Leah Brown,35,Product 35,18,247,245,Location 32
03/15/21,20,Leah Brown,27,Product 27,18,328,210,Location 88
11/17/21,20,Leah Brown,7,Product 7,17,328,219,Location 78
07/25/21,21,Sally Thompson,32,Product 32,3,283,232,Location 8
06/04/21,21,Sally Thompson,36,Product 36,3,313,189,Location 81
08/24/21,21,Sally Thompson,22,Product 22,3,265,167,Location 56
04/11/21,21,Sally Thompson,4,Product 4,3,305,197,Location 6
03/11/21,21,Sally Thompson,21,Product 21,3,334,187,Location 31
10/15/21,21,Sally Thompson,3,Product 3,3,344,178,Location 18
11/26/21,21,Sally Thompson,30,Product 30,3,389,164,Location 53
01/07/21,21,Sally Thompson,16,Product 16,3,274,204,Location 52
09/17/21,21,Sally Thompson,28,Product 28,3,260,167,Location 37
09/24/21,21,Sally Thompson,41,Product 41,3,297,200,Location 64
08/03/21,21,Sally Thompson,48,Product 48,3,324,186,Location 1
06/20/21,21,Sally Thompson,48,Product 48,3,324,186,Location 32
01/10/21,21,Sally Thompson,18,Product 18,3,309,265,Location 73
10/06/21,21,Sally Thompson,17,Product 17,3,274,265,Location 74
12/22/21,21,Sally Thompson,44,Product 44,3,254,150,Location 34
02/10/21,21,Sally Thompson,6,Product 6,3,351,239,Location 69
02/23/21,21,Sally Thompson,35,Product 35,3,247,245,Location 82
03/05/21,21,Sally Thompson,34,Product 34,3,345,196,Location 90
01/11/21,21,Sally Thompson,12,Product 12,3,256,149,Location 76
07/04/21,21,Sally Thompson,22,Product 22,3,265,167,Location 72
03/13/21,21,Sally Thompson,41,Product 41,3,297,200,Location 20
10/03/21,21,Sally Thompson,44,Product 44,3,254,150,Location 33
10/07/21,21,Sally Thompson,8,Product 8,3,356,212,Location 63
10/27/21,21,Sally Thompson,20,Product 20,3,279,79,Location 25
06/05/21,22,Clarence Rickenbacker,13,Product 13,21,356,145,Location 90
08/17/21,22,Clarence Rickenbacker,28,Product 28,21,260,167,Location 43
05/05/21,22,Clarence Rickenbacker,20,Product 20,21,279,79,Location 30
12/14/21,22,Clarence Rickenbacker,27,Product 27,21,328,210,Location 62
12/23/21,22,Clarence Rickenbacker,46,Product 46,21,245,198,Location 61
10/13/21,22,Clarence Rickenbacker,27,Product 27,21,328,210,Location 81
07/12/21,22,Clarence Rickenbacker,34,Product 34,21,345,196,Location 89
01/01/21,22,Clarence Rickenbacker,43,Product 43,21,198,185,Location 64
03/18/21,22,Clarence Rickenbacker,48,Product 48,21,324,186,Location 25
05/21/21,22,Clarence Rickenbacker,32,Product 32,21,283,232,Location 82
11/14/21,22,Clarence Rickenbacker,11,Product 11,21,326,173,Location 42
11/09/21,22,Clarence Rickenbacker,34,Product 34,21,345,196,Location 11
10/07/21,22,Clarence Rickenbacker,2,Product 2,21,306,256,Location 4
08/16/21,22,Clarence Rickenbacker,29,Product 29,21,245,220,Location 39
09/08/21,22,Clarence Rickenbacker,6,Product 6,21,351,239,Location 76
11/02/21,22,Clarence Rickenbacker,39,Product 39,21,231,212,Location 93
02/18/21,22,Clarence Rickenbacker,47,Product 47,21,275,225,Location 8
05/21/21,22,Clarence Rickenbacker,36,Product 36,21,313,189,Location 32
07/28/21,22,Clarence Rickenbacker,10,Product 10,21,359,162,Location 18
08/09/21,22,Clarence Rickenbacker,2,Product 2,21,306,256,Location 91
10/14/21,22,Clarence Rickenbacker,20,Product 20,21,279,79,Location 67
11/05/21,22,Clarence Rickenbacker,4,Product 4,21,305,197,Location 25
05/14/21,22,Clarence Rickenbacker,46,Product 46,21,245,198,Location 24
05/04/21,22,Clarence Rickenbacker,38,Product 38,21,295,290,Location 66
12/24/21,22,Clarence Rickenbacker,42,Product 42,20,299,161,Location 89
06/18/21,23,Roy Silva,43,Product 43,19,198,185,Location 8
10/01/21,23,Roy Silva,23,Product 23,19,234,136,Location 58
03/10/21,23,Roy Silva,31,Product 31,19,344,258,Location 2
08/16/21,23,Roy Silva,22,Product 22,19,265,167,Location 72
06/18/21,23,Roy Silva,38,Product 38,19,295,290,Location 29
04/21/21,23,Roy Silva,9,Product 9,19,365,220,Location 11
06/07/21,23,Roy Silva,36,Product 36,19,313,189,Location 51
02/10/21,23,Roy Silva,43,Product 43,19,198,185,Location 95
03/01/21,23,Roy Silva,38,Product 38,19,295,290,Location 24
06/24/21,23,Roy Silva,38,Product 38,19,295,290,Location 20
03/12/21,23,Roy Silva,2,Product 2,19,306,256,Location 95
09/20/21,23,Roy Silva,17,Product 17,19,274,265,Location 52
01/18/21,23,Roy Silva,33,Product 33,19,342,194,Location 24
05/12/21,23,Roy Silva,5,Product 5,19,274,202,Location 21
02/28/21,23,Roy Silva,33,Product 33,19,342,194,Location 10
11/15/21,23,Roy Silva,49,Product 49,19,179,172,Location 51
10/01/21,23,Roy Silva,3,Product 3,19,344,178,Location 41
05/06/21,23,Roy Silva,26,Product 26,19,418,251,Location 9
06/23/21,23,Roy Silva,11,Product 11,19,326,173,Location 14
09/05/21,23,Roy Silva,27,Product 27,19,328,210,Location 65
08/25/21,23,Roy Silva,12,Product 12,4,256,149,Location 81
11/21/21,25,Robert Carmen,33,Product 33,1,342,194,Location 40
06/02/21,25,Robert Carmen,39,Product 39,1,231,212,Location 88
06/05/21,25,Robert Carmen,40,Product 40,1,270,235,Location 56
02/09/21,25,Robert Carmen,42,Product 42,1,299,161,Location 73
05/18/21,25,Robert Carmen,28,Product 28,1,260,167,Location 71
10/24/21,25,Robert Carmen,50,Product 50,1,335,217,Location 92
12/17/21,25,Robert Carmen,26,Product 26,1,418,251,Location 31
10/17/21,25,Robert Carmen,3,Product 3,1,344,178,Location 21
09/05/21,25,Robert Carmen,33,Product 33,1,342,194,Location 38
07/14/21,25,Robert Carmen,3,Product 3,1,344,178,Location 60
02/04/21,25,Robert Carmen,9,Product 9,1,365,220,Location 97
05/20/21,25,Robert Carmen,3,Product 3,1,344,178,Location 94
05/06/21,25,Robert Carmen,11,Product 11,1,326,173,Location 20
07/16/21,26,Michael Johnson,32,Product 32,14,283,232,Location 92
06/18/21,26,Michael Johnson,34,Product 34,14,345,196,Location 7
11/17/21,26,Michael Johnson,15,Product 15,14,234,219,Location 2
12/12/21,26,Michael Johnson,48,Product 48,14,324,186,Location 88
04/02/21,26,Michael Johnson,3,Product 3,14,344,178,Location 58
